Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Disease_PPR,Disease_Anthrax,Disease_FootRot,Disease_Enterotoxemia,Disease_Parasites,Disease_CaprineArthritisEncephalitis,Disease_CaseousLymphadenitis,Disease_Anemia,Disease_Leukemia,Disease_ViralInfection,Disease_BloodParasites,Disease_BacterialInfection,Disease_AvianLeukosis,Disease_DuckViralDiseases,Disease_Colic,Disease_Strangles,Disease_EquineInfluenza,Disease_Laminitis,Disease_Rabies,Disease_EquineAnemia,Disease_EquineInfectiousAnemia,Disease_Bluetongue,Disease_Scrapie,Disease_OvineJohnesDisease,Disease_SheepPox,Disease_FungalInfection,Disease_Scurvy,Disease_Myxomatosis,Disease_HemorrhagicDisease,Disease_FelineLeukemia,Disease_Ringworm,Disease_FIV,Disease_KidneyDisease,Disease_Hyperthyroidism,Disease_Diabetes,Disease_AvianInfluenza,Disease_NewcastleDisease,Disease_MareksDisease,Disease_Coccidiosis,Disease_FowlPox,Disease_FowlCholera,Disease_Mastitis,Disease_FootMouth,Disease_BovineTB,Disease_Anaplasmosis,Disease_Brucellosis,Disease_LumpySkinDisease,Disease_BovineViralDiarrhea,Disease_Parvovirus,Disease_Distemper,Disease_Heartworm,Disease_SkinInfection,Disease_Leptospirosis,Disease_LymeDisease,Disease_VarroaInfection,Disease_SwineFlu,Disease_AfricanSwineFever,Disease_EColi,Disease_PRRS,Disease_PorcineCircovirus,Disease_Erysipelas,Disease_Trypanosomiasis,Disease_HemorrhagicSepticemia,Disease_WetTail,Disease_RespiratoryInfection,Disease_Tuberculosis,Disease_DuckViralEnteritis,Disease_DuckHepatitis,Disease_BlackheadDisease,Disease_Salmonellosis
GuineaPig,1,Male,Breed2,13592.69,5.48,15.87,197610.09,75.92,31.2,47.36,40.26,0.52,1,0,0,1,1,1,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,15,Female,Breed4,10914.65,7.11,14.46,246482.61,91.35,41.03,22.19,26.11,0.95,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Sheep,19,Female,Breed2,12034.07,4.9,14.43,373026.08,75.33,26.49,23.52,40.62,1.25,1,0,1,1,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,4,Female,Breed1,8073.98,7.15,15.48,264585.51,106.68,43.73,33.58,35.02,1.18,1,0,1,1,0,0,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,11,Male,Breed2,6345.42,6.78,12.66,288778.6,67.9,16.01,45.99,33.47,1.04,0,1,0,1,0,1,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,5,Male,Breed3,4417.57,6.72,13.43,332587.8,90.99,42.8,31.73,12.95,1.8,0,1,0,1,1,0,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,3,Female,Breed2,9373.89,5.9,14.66,423866.26,89.76,29.04,16.98,31.59,0.95,1,1,1,1,1,1,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,13,Female,Breed1,10317.09,6.98,13.37,225031.58,68.33,39.84,13.02,44.68,1.48,0,1,0,0,0,0,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,10,Male,Breed2,13867.03,4.05,13.55,284398.97,119.7,19.62,45.56,27.47,1.1,1,1,0,0,1,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpaca,11,Male,Breed3,13703.02,5.22,12.18,243096.4,109.39,29.45,36.8,38.17,1.08,0,1,1,1,1,1,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow,18,Female,Breed4,8671.54,6.72,12.3,289856.08,83.19,39.31,18.82,46.15,1.9,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Alpaca,2,Male,Breed1,8659.36,7.95,15.59,358938.47,101.09,29.35,38.98,31.37,1.55,0,1,1,1,1,1,,,,,,,,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,7,Female,Breed2,5772.35,4.01,10.03,294619.23,102.99,28.32,38.78,13.52,1.31,0,1,0,1,1,1,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,9,Male,Breed3,6831.94,6.04,10.76,400360.9,99.07,42.43,40.88,12.17,0.76,1,0,0,0,1,0,,,,,,,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,10,Female,Breed1,14182.3,7.7,17.59,315977.43,85.95,16.49,45.69,41.91,0.71,1,1,0,1,0,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Mouse,18,Female,Breed1,5551.4,7.45,11.5,265729.55,113.11,29.0,16.08,11.31,0.79,1,1,0,0,1,1,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,7,Female,Breed3,14655.7,4.09,13.34,384696.32,106.29,42.89,48.27,49.96,1.44,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
Frog,7,Male,Breed2,9552.12,6.12,16.8,279397.17,92.52,43.81,49.94,15.1,0.58,0,0,0,1,0,0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit,3,Female,Breed2,9022.67,4.02,10.0,304665.79,60.15,14.73,10.58,41.01,1.2,0,0,1,1,0,1,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,12,Female,Breed2,5921.02,7.16,17.4,448401.11,73.4,44.01,13.65,44.71,1.19,1,1,0,0,0,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig,7,Male,Breed1,11276.95,5.24,10.43,385929.52,90.53,10.49,27.36,22.26,1.88,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,
Deer,17,Female,Breed4,9058.3,7.06,11.37,406542.66,113.94,44.22,11.38,31.66,1.05,1,0,1,0,0,1,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit,1,Female,Breed1,8077.29,7.78,10.23,327855.31,97.72,20.59,39.4,48.1,1.84,0,0,0,0,1,0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,5,Female,Breed2,6909.68,7.9,14.16,254464.94,85.07,33.13,36.03,48.21,1.42,0,0,0,1,1,1,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,16,Male,Breed1,4731.35,7.58,17.54,447380.88,62.87,10.39,41.03,47.2,1.09,0,1,0,0,1,0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,15,Male,Breed4,9712.61,4.82,16.71,223206.03,95.84,39.26,49.94,21.0,1.29,1,1,0,1,1,1,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeybee,2,Male,Breed1,7441.99,4.78,15.12,411845.08,81.05,27.26,47.34,12.38,0.64,0,0,1,1,1,1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Goose,9,Male,Breed3,11786.52,6.5,11.48,423390.4,92.24,43.83,21.99,14.11,1.83,0,0,1,0,0,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog,7,Female,Breed2,11958.75,6.18,16.96,395266.43,105.99,32.22,25.86,15.68,1.45,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Goat,4,Male,Breed2,7653.18,4.04,16.04,184225.2,108.22,43.39,41.04,36.87,1.15,1,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,20,Male,Breed2,11360.33,5.57,12.13,406233.9,111.86,34.47,25.53,42.1,1.66,0,1,0,1,1,1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,18,Male,Breed1,6845.43,7.63,16.44,349133.38,98.16,39.83,37.95,12.01,1.11,1,0,0,1,1,0,,,,,,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,4,Female,Breed1,11998.91,7.59,17.02,354247.19,114.34,39.92,46.74,45.62,1.19,0,1,1,1,1,0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,13,Female,Breed1,4176.85,4.82,15.59,385959.47,101.44,19.87,26.24,39.89,1.13,0,1,1,0,0,0,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeybee,1,Female,Breed2,5667.7,5.53,10.8,297161.2,107.03,33.09,32.42,31.21,1.99,0,0,0,0,1,1,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Turtle,3,Male,Breed1,6695.1,6.24,17.87,230147.16,101.13,44.95,43.66,49.6,1.66,1,1,0,1,1,0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,16,Female,Breed2,12502.29,7.41,10.61,322479.65,112.31,45.16,29.11,20.61,1.89,1,0,0,1,0,1,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,4,Female,Breed1,4730.14,6.13,15.24,182602.64,73.37,25.39,21.57,18.72,1.07,1,1,0,0,1,0,,,,,,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,16,Male,Breed2,6068.63,7.87,10.88,352441.53,105.59,23.0,20.33,23.39,1.24,0,1,0,0,1,1,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamster,19,Female,Breed3,7944.87,7.2,17.24,294882.28,67.03,36.16,12.88,31.06,0.8,1,1,1,1,0,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
GuineaPig,1,Male,Breed1,4100.92,7.81,12.8,300699.29,65.52,41.14,23.21,25.47,0.52,0,0,1,1,0,0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,5,Male,Breed2,12383.33,6.93,14.09,205746.63,89.5,11.42,37.43,43.18,0.79,1,1,1,1,1,1,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,19,Female,Breed3,10161.16,7.51,11.43,162384.85,78.01,13.74,12.35,45.78,1.89,0,1,1,0,1,1,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catfish,11,Male,Breed3,13907.47,7.32,14.37,333380.94,93.8,41.15,20.97,48.67,1.18,0,1,0,1,1,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger,13,Male,Breed4,4341.34,5.02,17.51,347649.28,100.66,27.47,14.46,42.73,0.7,1,1,0,1,1,0,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,20,Male,Breed1,6985.3,4.92,17.21,299487.59,73.59,36.71,26.18,34.32,1.18,0,0,1,1,0,0,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,5,Male,Breed2,12043.77,7.46,10.51,379719.39,102.0,42.81,13.74,34.54,1.69,1,1,1,1,0,1,,,,,,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpaca,4,Male,Breed4,11426.64,4.34,13.03,319114.87,119.73,40.27,39.84,17.46,1.25,0,0,1,1,1,0,,,,,,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama,4,Male,Breed1,6673.63,5.63,12.14,404458.81,105.6,42.39,47.12,20.53,1.91,0,1,1,1,1,0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,4,Female,Breed3,10552.57,7.28,13.85,236435.58,70.43,30.56,17.69,49.89,1.85,0,0,0,0,1,1,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,4,Male,Breed1,12731.33,7.25,16.67,222932.5,98.02,16.31,20.02,20.45,1.21,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,
GuineaPig,20,Male,Breed2,4367.19,4.56,15.91,228343.6,60.57,28.94,16.41,28.67,0.62,0,1,1,0,0,0,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,18,Male,Breed3,11893.91,5.95,12.75,159155.54,88.18,48.53,17.5,25.41,1.56,1,1,1,0,0,0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,18,Male,Breed4,6773.07,5.92,13.06,420187.22,92.0,22.22,22.46,37.53,1.03,0,0,0,0,0,0,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,16,Female,Breed1,14426.36,5.29,15.23,449755.97,118.34,26.77,21.25,23.42,1.68,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,9,Female,Breed1,9920.42,7.67,11.55,394956.76,104.23,40.62,25.41,37.32,0.96,1,0,0,1,0,0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,18,Male,Breed4,4367.25,6.61,10.82,273778.83,102.36,13.04,31.0,48.43,1.0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,2,Female,Breed1,8437.74,7.92,11.94,256180.07,91.94,40.28,39.1,20.1,1.31,0,0,0,1,0,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,4,Male,Breed1,14629.43,4.27,10.99,382404.77,90.79,20.97,45.38,24.83,0.54,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,12,Male,Breed1,12034.1,5.58,12.82,302983.53,119.52,20.69,28.38,23.69,0.75,1,0,0,1,0,1,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow,7,Male,Breed3,7305.27,7.34,17.5,431837.35,61.28,33.3,46.36,22.01,1.78,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Goat,15,Male,Breed3,10327.94,5.69,10.96,233873.89,78.19,20.21,37.19,20.81,1.93,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig,7,Female,Breed2,10590.11,5.05,16.55,247145.4,68.03,35.65,39.16,35.2,0.79,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,
Deer,17,Female,Breed1,4256.83,7.99,14.28,449647.47,78.9,46.35,30.89,31.92,1.66,0,0,1,0,0,1,,,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,16,Male,Breed2,5967.17,7.49,15.06,443452.43,87.82,26.19,30.93,30.35,0.67,0,1,0,1,0,0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,19,Male,Breed3,10069.55,6.19,11.36,415557.53,80.52,47.74,31.28,42.02,1.21,0,1,1,0,1,0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant,9,Female,Breed1,8430.28,6.25,11.21,271388.61,117.76,47.69,29.68,15.86,1.26,0,1,0,1,0,0,,,,,,,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilapia,14,Female,Breed2,6090.42,4.03,11.3,401283.82,100.84,18.3,28.36,16.79,1.35,1,1,1,0,1,0,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken,17,Male,Breed1,12499.36,7.92,15.34,235017.96,103.68,27.27,40.98,30.52,1.04,0,0,0,0,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit,5,Female,Breed1,9378.94,7.23,15.98,226426.4,104.54,49.6,25.51,24.15,1.78,1,1,1,1,0,0,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,2,Male,Breed4,7409.7,4.15,17.36,313931.3,113.95,15.14,18.27,16.95,0.96,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
Alpaca,20,Female,Breed2,5778.45,4.71,13.19,408078.87,106.08,29.01,15.42,37.63,1.23,1,0,0,1,1,0,,,,,,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,16,Female,Breed3,10722.8,7.28,13.7,179241.96,60.97,27.28,45.18,29.84,0.79,0,1,1,1,1,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion,14,Female,Breed2,11328.87,4.35,13.76,319591.77,75.68,42.4,44.52,18.09,1.36,1,0,1,1,1,0,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose,14,Female,Breed2,11365.57,7.77,12.16,332921.51,119.35,16.48,19.75,20.58,0.8,1,1,1,0,0,0,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog,1,Male,Breed2,6423.16,8.0,12.63,323939.33,99.13,18.86,14.73,38.92,0.86,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Rabbit,3,Male,Breed4,10548.72,7.55,16.77,215549.18,64.09,17.02,48.42,23.1,1.16,0,1,0,0,1,0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle,7,Female,Breed1,13959.47,6.96,12.75,169238.74,88.0,16.67,29.28,18.18,0.92,0,0,1,1,1,0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,15,Male,Breed3,7885.06,5.95,16.95,418497.56,118.85,20.31,13.74,48.62,0.56,1,0,1,0,1,0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig,19,Female,Breed4,6318.44,4.33,12.44,322353.72,119.57,31.13,18.61,13.52,1.69,1,0,1,1,1,1,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,20,Female,Breed3,12493.64,6.92,12.72,380371.33,85.95,38.28,38.15,15.88,1.73,0,1,1,0,0,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
Catfish,2,Male,Breed4,5945.71,5.59,14.48,259331.1,113.58,25.21,13.25,38.69,1.85,0,1,1,1,1,1,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,19,Male,Breed1,6791.24,6.28,10.83,162750.68,95.52,27.85,27.32,27.03,1.97,0,1,1,0,0,1,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pig,9,Male,Breed3,5107.09,5.17,17.38,227869.59,90.57,41.7,27.1,40.12,0.67,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Chicken,19,Female,Breed2,6946.62,4.97,16.56,172009.7,84.72,31.01,37.43,32.11,0.91,1,1,1,0,1,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duck,5,Male,Breed4,8513.69,5.3,15.36,173472.38,113.53,33.59,17.98,11.61,1.45,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Duck,18,Male,Breed3,4705.74,7.26,17.91,214337.8,97.27,30.72,49.35,37.37,1.81,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
Cat,16,Male,Breed1,13588.8,5.71,10.13,340073.44,80.03,41.59,16.21,42.23,0.74,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
